mod_mass,total_psm_count,mod_mass_spec_id,code
-48.036386,42192,57,Y[-48.036386]
29.039125,41940,529,P[29.039125]
219.089543,41934,1487,N-term of protein[219.089543]
15.010899,41769,400,L[15.010899]
114.042927,41462,1020,S[114.042927]
329.05252,41347,1754,H/K/S/T/Y[329.05252]
209.018035,41337,1427,C[209.018035]
131.094629,41150,1100,C/H/K[131.094629]
-2.945522,40861,223,C[-2.945522]
-57.057849,40792,42,K[-57.057849]
-14.974514,40407,187,Q[-14.974514]
152.006087,40200,1226,C/H/K/S/T/Y[152.006087]
86.036779,40148,889,K[86.036779]
221.081695,39681,1504,C/D/E/H/K/N-term of peptide/S/T/Y[221.081695]
-41.074168,39574,77,R[-41.074168]
80.037448,39321,869,G[80.037448]
-45.987721,39095,63,C[-45.987721]
-115.042199,39090,5,W[-115.042199]
172.05243,39056,1345,C/K[172.05243]
228.111007,38559,1535,N[228.111007]
-60.003371,38534,35,M[-60.003371]
958.375399,38460,2203,S/T[958.375399]
44.008456,38286,666,S[44.008456]
248.19876,38041,1593,C-term of peptide/D/N-term of peptide[248.19876]
155.004099,37769,1242,C-term of peptide/D/E[155.004099]
58.020735,37696,768,Q[58.020735]
-14.052036,37556,189,K[-14.052036]
111.068414,37431,1007,C/H/Y[111.068414]
862.306651,37251,2159,N[862.306651]
-60.054144,37054,33,Y[-60.054144]
28.0313,36953,512,D[28.0313]
109.959137,36935,992,C/H/K/S/T/Y[109.959137]
175.030314,36795,1355,C[175.030314]
71.073499,36778,828,Q[71.073499]
107.013615,36662,969,S[107.013615]
136.088815,36101,1138,C/H/K[136.088815]
-8.963949,35966,212,H[-8.963949]
154.00311,35852,1229,S[154.00311]
1337.449137,35806,2419,N[1337.449137]
1216.422863,35780,2349,N[1216.422863]
8.963949,35406,330,K[8.963949]
210.00205,35075,1430,C[210.00205]
116.010959,35065,1032,C[116.010959]
154.09938,35028,1234,C/H/K[154.09938]
-17.974179,35026,160,D[-17.974179]
298.19328,34792,1669,K/N-term of peptide[298.19328]
1854.676296,34198,2694,N[1854.676296]
-30.010565,34113,104,S[-30.010565]
1970.824411,34053,2753,K[1970.824411]
212.00859,34041,1440,D/E/R[212.00859]
68.026215,33946,808,K[68.026215]
308.110732,33845,1710,S/T[308.110732]
46.020735,33693,690,T[46.020735]
70.005479,33647,813,K[70.005479]
49.020401,33458,705,N[49.020401]
1378.475686,33453,2443,N[1378.475686]
-28.990164,33302,112,Q[-28.990164]
-42.04695,33208,74,V[-42.04695]
13.979265,33008,365,R[13.979265]
94.967714,32967,921,Y[94.967714]
237.100108,32910,1569,C/K/N-term of protein[237.100108]
220.991213,32894,1494,K/N-term of peptide[220.991213]
28.042534,32868,521,Q[28.042534]
275.100502,32815,1632,A[275.100502]
24.0,32795,482,C[24.0]
-42.058184,32772,71,R[-42.058184]
586.279135,32500,1998,C[586.279135]
307.090331,32468,1706,N/S/T[307.090331]
27.047285,32318,499,T[27.047285]
348.193674,32057,1790,K/N-term of protein[348.193674]
-34.049727,32015,87,H[-34.049727]
60.054144,31954,785,C[60.054144]
-33.025486,31810,92,F[-33.025486]
57.057849,31712,759,A[57.057849]
72.021129,31667,829,H[72.021129]
940.284201,31286,2190,S/T[940.284201]
-18.010565,31125,158,T[-18.010565]
127.063329,31084,1080,K/N-term of peptide[127.063329]
-15.958529,31039,181,E[-15.958529]
29.974179,30989,531,Y[29.974179]
154.135765,30933,1239,S/T[154.135765]
76.0313,30920,844,K[76.0313]
28.990164,30876,523,Y[28.990164]
114.042927,30706,1022,T[114.042927]
164.060231,30639,1314,K/N-term of peptide/S/T/Y[164.060231]
132.057515,30318,1110,C/H/K/R/S/T/W[132.057515]
55.038828,30182,726,M[55.038828]
659.312423,30126,2040,S/Y[659.312423]
1038.375125,30055,2257,N/S/T[1038.375125]
294.183109,29930,1653,D[294.183109]
-43.017047,29812,69,R[-43.017047]
85.031634,29760,876,T[85.031634]
124.068498,29617,1070,N-term of peptide[124.068498]
80.985078,29597,870,R[80.985078]
4.00078,29545,295,K[4.00078]
168.0245,29431,1328,C[168.0245]
-76.0313,29384,19,Y[-76.0313]
55.053433,29323,727,T[55.053433]
107.979873,29316,971,S[107.979873]
316.203845,29303,1727,C/K/N-term of peptide[316.203845]
876.322301,29279,2165,N/S/T[876.322301]
134.048013,29192,1123,N-term of peptide[134.048013]
50.026883,29162,710,S[50.026883]
155.997631,29100,1248,K/S/T/Y[155.997631]
238.229666,29098,1573,C/K/N-term of protein/S/T[238.229666]
63.044462,29032,797,S/T[63.044462]
233.051049,28981,1552,K/N-term of peptide[233.051049]
18.973451,28806,460,K[18.973451]
133.052764,28768,1118,C/K/N-term of peptide[133.052764]
-15.010899,28700,183,S of protein[-15.010899]
947.323029,28675,2195,N/S/T[947.323029]
43.989829,28476,664,E[43.989829]
18.940436,28470,459,K[18.940436]
135.044916,28099,1125,S[135.044916]
66.021798,28068,805,A[66.021798]
149.02992,28068,1217,C/K/N-term of peptide[149.02992]
581.211328,27874,1994,K/N-term of peptide/Y[581.211328]
42.021798,27749,630,N-term of peptide[42.021798]
340.100562,27711,1780,K[340.100562]
89.026549,27701,906,P[89.026549]
516.170373,27671,1943,C-term of protein/E[516.170373]
106.00885,27665,964,C/H/K[106.00885]
33.025486,27662,568,N[33.025486]
32.041471,27654,563,D[32.041471]
30.010565,27617,537,G[30.010565]
29.974179,27289,532,W[29.974179]
305.068156,27117,1698,C[305.068156]
-18.010565,27031,146,S[-18.010565]
700.253828,26888,2065,N[700.253828]
778.274288,26846,2107,S/T[778.274288]
523.210069,26710,1945,C[523.210069]
291.095417,26664,1648,N/S/T[291.095417]
174.168569,26619,1352,C[174.168569]
933.343765,26438,2186,N/S/T[933.343765]
44.026215,26403,671,G[44.026215]
170.013281,26311,1336,H/K/R/S/T/Y[170.013281]
56.026215,26136,735,R[56.026215]
32.022844,25982,562,M[32.022844]
174.025169,25898,1351,C[174.025169]
56.0626,25765,743,K[56.0626]
242.101505,25739,1582,K[242.101505]
225.090212,25720,1513,C[225.090212]
30.010565,25597,539,K[30.010565]
70.041865,25575,816,H[70.041865]
267.158292,25558,1627,C[267.158292]
43.005814,25555,650,C[43.005814]
875.3019,25423,2162,S/T[875.3019]
1362.480772,25368,2432,N[1362.480772]
132.042259,25285,1107,S/T[132.042259]
11.032077,25177,341,R[11.032077]
148.089627,25128,1209,C[148.089627]
454.181212,25072,1895,K[454.181212]
892.317216,24958,2170,N/S/T[892.317216]
335.121631,24952,1771,S/T[335.121631]
184.07961,24904,1382,C[184.07961]
111.032028,24895,996,C[111.032028]
283.036187,24670,1642,S/T[283.036187]
27.958529,24589,502,W[27.958529]
125.047679,24543,1071,C[125.047679]
1129.390834,24342,2303,N[1129.390834]
122.013281,24287,1057,S/T/Y[122.013281]
34.968366,24249,586,K[34.968366]
38.01565,24217,604,K[38.01565]
54.010565,24202,721,R[54.010565]
44.026215,24109,669,C[44.026215]
214.971084,24021,1454,K/N-term of peptide[214.971084]
418.137616,24019,1856,C[418.137616]
120.034017,23853,1049,S/T/Y[120.034017]
96.057515,23776,928,K/N-term of protein[96.057515]
714.269478,23629,2081,N/S/T[714.269478]
130.079062,23583,1097,C[130.079062]
1054.370039,23546,2265,N[1054.370039]
324.105647,23482,1743,K/R/S/T[324.105647]
851.290667,23455,2151,N/S/T[851.290667]
15.010899,23405,398,Y[15.010899]
87.010899,23304,892,V[87.010899]
94.041865,23260,920,K[94.041865]
59.048347,23256,778,P[59.048347]
186.008196,23202,1385,K/S/T/Y[186.008196]
49.020401,23004,704,H[49.020401]
-60.036386,22969,34,F[-60.036386]
